Node_ID,Main_Tag,Detailed_Tag
48148332,Moda_Lusso,Puro_Moda_Lusso
48150530,Moda_Lusso,Puro_Moda_Lusso
48155814,Action_Figure,Puro_Action_Figure
48164051,Action_Figure,Puro_Action_Figure
48164666,Generalista,Debole_Moda_Lusso
48173135,Generalista,Generalista_Puro
48175903,Moda_Lusso,Puro_Moda_Lusso
48180516,Multi_category,Multi_category_Carte_TCG_Action_Figure
48182864,Moda_Lusso,Puro_Moda_Lusso
48183598,Generalista,Debole_Moda_Lusso
48184441,Generalista,Generalista_Puro
48186026,Moda_Lusso,Puro_Moda_Lusso
48201615,Moda_Lusso,Puro_Moda_Lusso
48204510,Moda_Lusso,Puro_Moda_Lusso
48241042,Moda_Lusso,Puro_Moda_Lusso
48244106,Moda_Lusso,Puro_Moda_Lusso
48253306,Action_Figure,Puro_Action_Figure
48255180,Moda_Lusso,Puro_Moda_Lusso
48304446,Generalista,Debole_Moda_Lusso
48306735,Generalista,Debole_Fumetti_Manga
48307262,Moda_Lusso,Puro_Moda_Lusso
48314281,Generalista,Debole_Moda_Lusso
48314383,Generalista,Debole_Moda_Lusso
48317690,Carte_TCG,Puro_Carte_TCG
48317855,Generalista,Debole_Tech_Elettronica
48346959,Moda_Lusso,Puro_Moda_Lusso
48347953,Generalista,Generalista_Puro
48381355,Generalista,Generalista
48387880,Fumetti_Manga,Puro_Fumetti_Manga
48395257,Generalista,Generalista
48403364,Generalista,Generalista
48422225,Multi_category,Multi_category_Action_Figure_Fumetti_Manga
48425694,Moda_Lusso,Puro_Moda_Lusso
48427489,Generalista,Generalista_Puro
48431312,Generalista,Generalista_Puro
48431517,Generalista,Debole_Moda_Lusso
48445610,Generalista,Generalista_Puro
48481822,Generalista,Debole_Moda_Lusso
48485733,Generalista,Generalista_Puro
