Node_ID,main_tag,detailed_tag,in_degree,out_degree,pagerank,betweenness,Community,Community_Label
51201999,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
109366249,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
11997622,Generalista,Debole_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
67357325,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
61751661,Moda_Lusso,Puro_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
125912638,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.225986042337966e-05,0.0,2,02 - TRADING CARD GAMES
80160994,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
73125561,Multi_category,Multi_category_Carte_TCG_Fumetti_Manga,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
229422776,Multi_category,Multi_category_Carte_TCG_Action_Figure,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
52047482,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
82238993,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
112194505,Carte_TCG,Puro_Carte_TCG,0.0,6.048874909266876e-05,1.010661994436097e-05,0.0,2,02 - TRADING CARD GAMES
173691185,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
97614837,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
223762342,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
180956435,Multi_category,Multi_category_Moda_Lusso_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
